listing_id,title,price,location,state,beds,baths,size_sqft,property_type,url,scraped_at
115069656,Taman Relau Jaya FULLY FURNISH,250000,N/A,N/A,N/A,N/A,550,N/A,https://www.mudah.my/ad/115069656.htm,2026-06-27 07:47:56
115108608,Taman Sri Pinang - Blok 1-20-20 (Corner Unit),220000,N/A,N/A,N/A,N/A,680,N/A,https://www.mudah.my/ad/115108608.htm,2026-06-27 07:47:56
115108566,"Double Storey House, Taman Pektra Indah, Simpang Ampat, Penang",590000,N/A,N/A,N/A,N/A,2900,N/A,https://www.mudah.my/ad/115108566.htm,2026-06-27 07:47:56
112671682,Best Value Condominium with Million-Dollar Views in Penang,1068000,N/A,N/A,N/A,N/A,2068,N/A,https://www.mudah.my/ad/112671682.htm,2026-06-27 07:47:56
115108267,Bayan Baru. Opposite Sunshine. Jalan Mahsuri commercial SD for sales.,2300000,N/A,N/A,N/A,N/A,3600,N/A,https://www.mudah.my/ad/115108267.htm,2026-06-27 07:47:56
115107976,"54, lebuh Nibong, Bayan Baru, 11950 Bayan Lepas, Penang.",450000,N/A,N/A,N/A,N/A,1000,N/A,https://www.mudah.my/ad/115107976.htm,2026-06-27 07:48:01
111651666,Tanah Kampung di Sungai Bakap Penang,460000,N/A,N/A,N/A,N/A,0.44,N/A,https://www.mudah.my/ad/111651666.htm,2026-06-27 07:48:01
114328815,Winter tower with Kek Lok Si view,780000,N/A,N/A,N/A,N/A,1285,N/A,https://www.mudah.my/ad/114328815.htm,2026-06-27 07:48:01
115106619,Raffle Towel Super Nice Unit,1248000,N/A,N/A,N/A,N/A,1600,N/A,https://www.mudah.my/ad/115106619.htm,2026-06-27 07:48:01
115106500,Imperial Grande Condominium @ Sungai Ara – Fully Furnished,650000,N/A,N/A,N/A,N/A,1000,N/A,https://www.mudah.my/ad/115106500.htm,2026-06-27 07:48:01
115106387,SETIA SKY VISTA @ Bayan Lepas,699000,N/A,N/A,N/A,N/A,1115,N/A,https://www.mudah.my/ad/115106387.htm,2026-06-27 07:48:01
115106375,House for sale ,165000,N/A,N/A,N/A,N/A,538,N/A,https://www.mudah.my/ad/115106375.htm,2026-06-27 07:48:01
115106301,Double Storey Terrace Persiaran Kelicap Bayan Lepas Penang(End Lot),899000,N/A,N/A,N/A,N/A,1800,N/A,https://www.mudah.my/ad/115106301.htm,2026-06-27 07:48:01
115106299,D' Starlingtton Condominium (@Casa Teluk Kumbar),535000,N/A,N/A,N/A,N/A,1044,N/A,https://www.mudah.my/ad/115106299.htm,2026-06-27 07:48:01
115103716,THE PULSE 3Bedrms & 2Bathrms + 2 cparks /High FLR –SALE /from Owner,379000,N/A,N/A,N/A,N/A,878,N/A,https://www.mudah.my/ad/115103716.htm,2026-06-27 07:48:01
115103466,Double Story at Alma Taman Seri Impian,600000,N/A,N/A,N/A,N/A,1950,N/A,https://www.mudah.my/ad/115103466.htm,2026-06-27 07:48:01
115102107,For sale by OWNER - NO AGENT FEES,220000,N/A,N/A,N/A,N/A,650,N/A,https://www.mudah.my/ad/115102107.htm,2026-06-27 07:48:01
115100957,factory @Nagasari,30000000,N/A,N/A,N/A,N/A,6.79,N/A,https://www.mudah.my/ad/115100957.htm,2026-06-27 07:48:01
115100943,Springtide Residences Beachfront Luxury Condominium in Tanjung Bungah,4800000,N/A,N/A,N/A,N/A,5221,N/A,https://www.mudah.my/ad/115100943.htm,2026-06-27 07:48:01
115100875,Taman Perda Indah Tasek Gelugor For Sale,330000,N/A,N/A,N/A,N/A,1200,N/A,https://www.mudah.my/ad/115100875.htm,2026-06-27 07:48:01
115065125,flat for sale below market value,250000,N/A,N/A,N/A,N/A,850,N/A,https://www.mudah.my/ad/115065125.htm,2026-06-27 07:48:01
115066923,Bukit Minyak Kondonimium Mewah,280000,N/A,N/A,N/A,N/A,707,N/A,https://www.mudah.my/ad/115066923.htm,2026-06-27 07:48:01
115064800,High Floor|1100sf|2 Carparks|Near Lift|Fully Renovated|Halaman Kristal,528000,N/A,N/A,N/A,N/A,1100,N/A,https://www.mudah.my/ad/115064800.htm,2026-06-27 07:48:01
115065161,Golfview Apartment with good maintenance,458000,N/A,N/A,N/A,N/A,1140,N/A,https://www.mudah.my/ad/115065161.htm,2026-06-27 07:48:01
115064341,Taman Bertam Permai Single Storey House For Sale,365000,N/A,N/A,N/A,N/A,1550,N/A,https://www.mudah.my/ad/115064341.htm,2026-06-27 07:48:01
113833716,Lebuh Pantai Legal office for sales,1300000,N/A,N/A,N/A,N/A,13000,N/A,https://www.mudah.my/ad/113833716.htm,2026-06-27 07:48:01
115064820,Direct Owner 22 Macalisterz for Sales,780000,N/A,N/A,N/A,N/A,497,N/A,https://www.mudah.my/ad/115064820.htm,2026-06-27 07:48:01
115065681,Corner 3 Storey Semi-D Setia Green Sungai Ara Fully Furnish for sale,2400000,N/A,N/A,N/A,N/A,2560,N/A,https://www.mudah.my/ad/115065681.htm,2026-06-27 07:48:01
113587809,Luxury Woodsbury Condo in Butterworth,470000,N/A,N/A,N/A,N/A,920,N/A,https://www.mudah.my/ad/113587809.htm,2026-06-27 07:48:01
115063940,3 Storey Terrace Sentral Green 3000sqft 4 Car Park Good Location,1300000,N/A,N/A,N/A,N/A,3000,N/A,https://www.mudah.my/ad/115063940.htm,2026-06-27 07:48:01
115065265,Rare Corner Lot! Spacious 2-Storey Terrace at Taman Cassia Barat,520000,N/A,N/A,N/A,N/A,2551,N/A,https://www.mudah.my/ad/115065265.htm,2026-06-27 07:48:01
115064023,Lebuh Victoria for Sales with tenancy agreement,3000000,N/A,N/A,N/A,N/A,40000,N/A,https://www.mudah.my/ad/115064023.htm,2026-06-27 07:48:01
115064142,"Rare Spacious Property – 2,077 sqft | Prime Location Near Penang Scien",520000,N/A,N/A,N/A,N/A,2077,N/A,https://www.mudah.my/ad/115064142.htm,2026-06-27 07:48:01
115064629,Ready to Move In Fully Renovated and Remodelled,650000,N/A,N/A,N/A,N/A,1260,N/A,https://www.mudah.my/ad/115064629.htm,2026-06-27 07:48:01
